platName	amount	bidderNum	borrowerNum	incomeRate	loanPeriod	totalLoanNum	regCapital	fullloanTime	stayStillOfTotal	netInflowOfThirty	top10DueInProportion	avgBidMoney	top10StayStillProportion	avgBorrowMoney	timeOperation	developZhishu
胖胖猪	25	33	2	9.2	1.4	2	5751	2040.08	2042.62	25.28	29.35	0.76	96.26	12.5	24	0
五岳贷	25	12	1	12.2	2	1	10000	13.63	2441.19	70.1	32.74	2.08	100	25	25	0
中恒宝	22.4	10	4	6.12	1.51	4	1100	419.91	2402.35	9.72	51.86	2.24	99.91	5.6	27	0
鲁金所	22.4	13	6	8.38	1.25	6	10000	197.71	2440.38	-26.59	39.3	1.72	37.32	3.73	16	0
爱上贷	22	20	7	15.07	1	7	1000	0.08	720.3	22.03	47.54	1.1	21.93	3.14	26	0
鼎诚创投	21.5	30	2	13.9	2.4	3	5000	184.97	1376.78	4.42	38.96	0.72	15.54	10.75	26	0
微易贷	21.34	45	1	18.5	12	30	1000	0.76	4386.28	0.15	30.16	0.47	65.43	21.34	31	0
优聚投	20	12	1	10	2	2	2000	9057.41	876.21	6.79	39.1	1.67	100	20	25	0
飞特金融	20	21	2	12	2	2	1000	0.34	1817.82	-10.05	55.28	0.95	46.4	10	24	0
光合种子	20	12	1	6.8	2.48	1	5000	4612.27	5660.22	-2.31	80.55	1.67	45.51	20	18	0
e葱金融	20	19	1	8	0.96	1	5000	17.17	1029.68	-14.96	73.87	1.05	100	20	10	0
黔商贷	20	17	2	13.5	4.5	2	10000	269.32	1591.08	10.53	22.72	1.18	58.03	10	21	0
融信网	20	18	1	11.9	6	1	10000	3317.45	2751.6	20.86	31.14	1.11	41.05	20	46	0
首鸿财富	20	13	1	15.6	2	1	3000	1836	2132.83	-20.24	52.83	1.54	92.03	20	19	0
易宝金融	20	17	1	7.8	3	1	1629	1964.05	20327.34	20.39	15.44	1.18	55.68	20	33	0
车富88	18	14	3	10.1	3.67	4	6500	0.03	4942.38	-18.73	37.69	1.29	29.02	6	24	0
网筹金融	18	6	2	9.17	2.52	2	5000	0.75	3322.84	-56.82	27.85	3	49.84	9	30	0
创融在线	17.5	5	4	19.86	1.86	4	1000	0	1364.72	1.3	80.5	3.5	18.02	4.38	38	0
稳贷网	17	7	2	19.24	13.41	2	1000	0	12152.4	-26.42	16.22	2.43	14.56	8.5	31	0
宁安贷	17	4	1	11	12	1	5000	353.22	3196.71	-12.86	17.98	4.25	28.85	17	34	0
码头益	16.99	9	2	10.35	7.48	2	1000	851.48	2334.87	10.67	84.37	1.89	54.19	8.49	34	0
红顶金融	15.4	7	2	12.31	10.29	2	10000	137.57	1716.48	-2.12	60.77	2.2	86.1	7.7	25	0
京都贷	15	20	1	9.33	1	2	5000	5951.07	1297.55	3.24	44.09	0.75	87.21	15	26	0
沃信财富	15	1	2	16.8	3	2	500	0	256.08	1.43	80.9	15	49.87	7.5	28	0
聚融在线	13.5	14	1	8	1	1	10000	425.18	660.53	9.43	42.79	0.96	67.58	13.5	44	0
合众e贷	12	11	1	12.5	3	1	5000	23.58	3197.15	11.05	11.93	1.09	9.06	12	14	0
融之家	11.5	13	2	16	1	2	3000	18.82	796.99	7.55	48.15	0.88	99.81	5.75	25	0
万利金融	11	16	2	14.15	2.81	3	3000	1225.47	1775.53	-14.13	39.41	0.69	100	5.5	27	0
恒利网	10.4	5	3	10	1	3	2000	0.14	2201.18	-4	37.41	2.08	23.58	3.47	29	0
冰川财富	10	2	1	11	6	1	1000	0.88	3243.5	9.13	39.73	5	39.16	10	19	0
小平贷	10	2	3	9.6	5	22	2000	0.11	3251.99	0	19.14	5	52.06	3.33	21	0
私房投	10	9	1	12	1	1	2018	173.18	769.01	-0.24	52.05	1.11	100	10	21	0
平平贷	10	7	3	15.04	1.7	4	5000	14.72	614.48	6.69	59.33	1.43	100	3.33	41	0
易e贷	10	7	1	12.36	6	1	500	15.48	4228.2	7.49	44.79	1.43	85.23	10	31	0
浙江车贷网	10	9	1	9.6	1	1	500	1420.9	298.89	4.85	61.41	1.11	46.81	10	36	0
票据贷	9.92	1	1	14	0.7	1	10000	0	120.02	0	100	9.92	76.19	9.92	33	0
钱来也	9.5	3	1	13.2	1	2	10000	2.38	409.5	6.77	59.71	3.17	100	9.5	10	0
乐投贷	9.1	12	2	14.75	20.86	2	1000	33.19	0	0	0	0.76	0	4.55	39	0
种子拼图	8.9	9	2	10.63	2.26	3	3000	374.82	1488.14	47.19	44.96	0.99	87.72	4.45	22	0
前沿财富	8	6	3	17.19	4.12	3	10000	0.02	3213.98	-6.31	34.32	1.33	6.34	2.67	15	0
蜜蜂财富	8	8	1	15	1	1	5000	1825.65	520.43	162.95	56.35	1	100	8	25	0
利聚网	7.9	5	2	15.53	5.05	2	1000	0.01	1484.66	-6.51	9.99	1.58	28.67	3.95	26	0
众联财富	7.5	13	2	14.2	1	2	2000	0.03	323.82	2.53	54.89	0.58	72.43	3.75	25	0
海星宝理财	7	6	1	13.16	4	1	3200	1.3	2202.52	-26.32	11	1.17	17.12	7	24	0
龙贷	7	9	1	11	6	1	5000	0.23	36319.56	-591.45	21.61	0.78	28.8	7	33	0
众可贷	6.81	3	11	12	18	11	5000	6.06	1664.52	4.54	57.72	2.27	0.77	0.62	26	0
捷创贷	6.4	9	1	13	1	3	1000	60.81	427.92	6.47	86.95	0.71	100	6.4	28	0
海鸥金服	5.5	3	1	13	1	1	10000	3.3	78.34	-4.55	38.15	1.83	100	5.5	3	0
天天财富	5	5	1	12	0.04	1	11000	3357.53	4554.93	-1.03	70.08	1	87.43	5	30	0
可乐贷	5	5	1	12	2	1	2000	0.92	566.99	-0.01	88.5	1	100	5	27	0
如意财富	5	2	1	13.2	3	1	5000	25	898.79	15.23	42.85	2.5	95.55	5	23	0
皖都金融	5	7	1	13.8	4.22	1	3430	46.95	2468.76	4.55	47.19	0.71	100	5	41	0
盛齐财富	5	6	3	16.74	2.4	4	2000	319.19	1076.88	-1.45	74.14	0.83	60.24	1.67	22	0
闲钱宝	4	3	1	12	3	1	1000	10.35	4307.25	3.65	42.32	1.33	100	4	36	0
中国融信贷	3.6	2	2	18	3	2	10000	0	281.01	2.31	88.72	1.8	99.77	1.8	31	0
178网贷	3	3	1	15	3	1	10000	2.13	219.72	-2.02	37.77	1	86.42	3	24	0
楚金所	1.5	1	1	9.08	2.41	1	5000	0	1584.79	1.28	62.96	1.5	96.91	1.5	28	0
信通袋	1.03	8	3	12.55	4.84	7	1424	5.01	2190.92	-15.35	95.39	0.13	16.91	0.34	30	0
房金所	1	2	1	8.3	5.54	1	2000	7.28	36415.85	-103.65	33.1	0.5	94.22	1	30	0
钱增增	0	0	0	0	0	0	5000	0	2913.86	-9.61	18.86	0	21.57	0	22	0
汇泉贷	0	0	0	0	0	0	1000	0	126678.17	0	60.07	0	82.8	0	24	0
汉金所	0	0	0	0	0	0	30000	0	44581.04	-24.79	8.37	0	73.59	0	22	0
财火火	0	0	0	0	0	0	3000	0	2499.7	-9.34	78.29	0	100	0	24	0
链链金融	0	0	0	0	0	0	1000	0	16937.02	-424.39	19.99	0	20.57	0	0	84
派派猪理财	0	0	0	0	0	0	1000	0	9336.11	0	36.44	0	95.02	0	23	0
1818优本财富	0	0	0	0	0	0	5000	0	9009.68	-202.02	25.02	0	100	0	28	0
善金网	0	0	0	0	0	0	1000	0	109.94	-9.68	86.62	0	74.02	0	17	0
爱本地	0	0	0	0	0	0	5000	0	17677.84	-527.89	52.03	0	51.78	0	19	0
钱满仓	0	0	0	0	0	0	5000	0	7901.54	-21.3	24.67	0	55	0	23	0
皓添金融	0	0	0	0	0	0	5000	0	3798.28	-8.24	72.65	0	54.77	0	19	0
就爱金融网	0	0	0	0	0	0	5000	0	1809.6	0	58.47	0	71.45	0	16	0
房融所	0	0	0	0	0	0	3000	0	3442.79	0	34.43	0	97.26	0	18	0
艺点理财	0	0	0	0	0	0	1000	0	4446.71	-31.5	25.27	0	87.38	0	14	0
银象网	0	0	0	0	0	0	1000	0	553.95	-2.54	16.35	0	20.59	0	13	0
金财动力	0	0	0	0	0	0	5000	0	21862.48	-7.67	25.01	0	94.08	0	18	0
互惠理财网	0	0	0	0	0	0	3000	0	10758.62	-276.02	35.61	0	4.24	0	17	0
中平金融	0	0	0	0	0	0	10000	0	20367.62	-3.5	37.53	0	99.16	0	10	0
便民投	0	0	0	0	0	0	3000	0	506.51	-0.06	73.34	0	100	0	11	0
爱康金服	0	0	0	0	0	0	10000	0	43431.41	0	38.5	0	84.3	0	9	0
贴身贷	0	0	0	0	0	0	3000	0	529.81	0	85.3	0	51.36	0	10	0
产融贷	0	0	0	0	0	0	5000	0	535.63	-0.47	78.35	0	91.92	0	24	0
诚天财富	0	0	0	0	0	0	5000	0	122.21	23.23	84.66	0	97.2	0	15	0
诚投在线	0	0	0	0	0	0	5000	0	5839.85	-1.88	36.72	0	85.18	0	23	0
投促金融	0	0	0	0	0	0	2000	0	13442.54	-2.86	29.97	0	100	0	26	0
橙旗贷	0	0	0	0	0	0	5435	0	17389.4	-61.35	18.73	0	53.14	0	27	0
短融网	0	0	0	0	0	0	5494	0	56990.07	-299.68	8.71	0	2.43	0	31	43
堆金网	0	0	0	0	0	0	9000	0	6678.24	155.48	80.82	0	83.83	0	22	0
爱蚂蚁	0	0	0	0	0	0	1000	0	1529.57	-0.83	45.63	0	95.26	0	23	0
房易贷	0	0	0	0	0	0	5000	0	8872.93	-28.95	16.08	0	26.21	0	21	0
分钱网	0	0	0	0	0	0	10000	0	8060.7	-7.72	58.66	0	81.45	0	21	0
金控网贷	0	0	0	0	0	0	10000	0	18643.28	-279.73	15.58	0	96.33	0	30	97
宏鑫宝	0	0	0	0	0	0	10000	0	2172.07	-2.49	19.78	0	30.7	0	31	0
汇财贷	0	0	0	0	0	0	10000	0	3852.36	30.87	80.32	0	100	0	33	0
宏信创投	0	0	0	0	0	0	3000	0	641.76	0	69.65	0	100	0	49	0
金柜贷	0	0	0	0	0	0	2000	0	1578.98	-0.16	51.4	0	36.2	0	27	0
口碑贷	0	0	0	0	0	0	10000	0	34592.82	-9.73	9.62	0	37.96	0	29	0
隆隆网	0	0	0	0	0	0	1250	0	2131.87	-61.04	45	0	100	0	29	0
熊猫贷	0	0	0	0	0	0	1000	0	2450.38	-30.61	82.54	0	95.08	0	31	0
青鱼金融	0	0	0	0	0	0	1000	0	286.57	6.15	72.25	0	58.45	0	7	0
启腾财富	0	0	0	0	0	0	1000	0	400.77	-0.04	91.8	0	46.44	0	22	0
荣通宝投资	0	0	0	0	0	0	5000	0	1239.8	-10.33	71.95	0	96.43	0	12	0
圈圈贷	0	0	0	0	0	0	5000	0	13108.63	-2.26	62.7	0	43.9	0	57	0
财加	0	0	0	0	0	0	30000	0	1573.61	-31.92	82.74	0	24.78	0	44	0
微金在线	0	0	0	0	0	0	5000	0	2983.16	0	28.37	0	54.13	0	34	0
